"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 1",3036.24710409644,62.8036150233192,62.8036150233192
"comp 2",836.82253575811,17.3093554565053,80.1129704798245
"comp 3",619.714421106568,12.8185567884332,92.9315272682577
"comp 4",134.895099606187,2.79025376187898,95.7217810301367
"comp 5",82.4122713008507,1.70466644595326,97.4264474760899
"comp 6",24.7214801305594,0.511354401567498,97.9378018776574
"comp 7",20.763498873858,0.429485066630954,98.3672869442884
"comp 8",8.80088531884118,0.182042961089417,98.5493299053778
"comp 9",2.68737367253637,0.055587300956522,98.6049172063343
"comp 10",6.41120617615759e-09,1.32613358108859e-10,98.604917206467
