"","(Intercept)","mean_citations_per_year","growth_rate","SJR_median","journal_h_index_median","author_count_median","median_citations_per_doc","chw_author_position_median","author_weight_median"
"citation_count",-0.970996003057939,0.00194781128204226,-0.00191740173024825,-0.0309995108351396,0.000738427461805904,-0.00394542341389982,0.00426532773785732,-0.00305077851673519,0.0501719068346075
"cited_by_count",-1.00254940608723,0.000483044204341964,-0.000462761819875982,-0.0117241957547123,0.000440834549893139,-0.00534579288997346,0.00241737339826464,-0.0058646061110317,-0.0338034693506427
"coauthor_count",-1.93233641628027,-0.00589713595055276,0.00587708726971481,0.145073329799939,-0.00308452676240853,0.0420533477009298,-0.0235465240858694,0.0149750195653799,-0.470529277352197
"document_count",-3.33659179287476,-0.00341277723749417,0.00313368236384874,-0.029560364613483,-0.00219919913824613,-0.00814949365898232,-0.0253549691725404,-0.000822688229485582,0.211131483997642
"h_index",-4.44888804756314,-0.00643350086582095,0.00586608368507259,0.0354644215707532,-0.00211460740453481,0.0080589435861392,-0.0108882165514608,-0.0583466724533187,-0.0426652299026019
"first_author_sum",-5.21143643411088,-0.00755061134383655,0.00736796580375518,0.0764520923264855,-0.0029889335947264,0.0445751697983411,-0.0287943624421683,-0.266757832928472,1.07411771198749
"last_author_sum",-5.68522317080383,-0.00166220234216393,0.00145459507786966,-0.0486359935637678,-0.0014155126495709,-0.131820731145229,-0.0267987389834221,0.219761716333991,1.54215183352265
"publication_duration",-3.85428069204949,-0.0105586754655451,0.00955536018781075,-0.00734020373315964,-0.00264654658518643,-0.0114077493668138,-0.0175570490615265,-0.0596489079929907,-0.0357773486693713
"openaccess_sum",-4.97318420590708,-0.00426968099388301,0.00405733339160505,0.160979044449821,-0.0003972670100355,-0.00374106236485669,-0.0276335559725021,0.00951697247168844,0.0238020092915447
"Article_sum",-3.64137990774612,-0.00329652503674575,0.00298132990154431,-0.0256385155358151,-0.00204868192179216,-0.00968183641294493,-0.0229964135159956,0.00819706957459116,0.0742056173489913
